iter	Passed	Remaining
475	663	730
476	666	730
477	667	728
478	668	727
479	669	725
480	670	723
481	671	721
482	672	719
483	673	717
484	674	716
485	675	714
486	676	712
487	676	710
488	677	708
489	678	706
490	680	705
491	681	704
492	682	702
493	683	700
494	684	698
495	685	696
496	686	694
497	687	692
498	688	690
499	689	689
500	689	687
501	690	685
502	691	683
503	692	681
504	693	679
505	695	679
506	696	677
507	697	675
508	698	673
509	699	671
510	700	669
511	701	668
512	701	666
513	702	664
514	703	662
515	704	660
516	705	659
517	706	657
518	707	655
519	708	653
520	709	652
521	710	651
522	711	649
523	712	647
524	713	645
525	714	643
526	715	641
527	716	640
528	717	638
529	717	636
530	718	634
531	719	633
532	720	631
533	721	629
534	722	627
535	723	626
536	725	625
537	725	623
538	726	621
539	727	619
540	728	618
541	729	616
542	730	614
543	731	613
544	732	611
545	733	609
546	733	607
547	734	606
548	735	604
549	736	602
550	737	600
551	738	599
552	739	597
553	740	596
554	742	595
555	743	593
556	745	592
557	746	591
558	747	589
559	749	588
560	750	587
561	753	587
562	755	586
563	756	584
564	757	583
565	758	581
566	759	579
567	760	578
568	761	576
569	762	575
570	763	573
571	764	571
572	765	570
573	768	570
574	770	569
575	772	568
576	773	567
577	775	565
578	776	564
579	777	562
580	778	561
581	779	559
582	780	558
583	781	556
584	783	556
585	784	554
586	786	553
587	788	552
588	789	551
589	791	549
590	792	548
591	793	546
592	794	545
593	795	544
594	797	542
595	798	541
596	799	539
597	801	538
598	802	537
599	803	535
600	805	534
601	806	533
602	808	532
603	809	530
604	810	529
605	813	528
606	814	527
607	815	525
608	816	524
609	817	522
610	818	521
611	819	519
612	820	518
613	821	516
614	822	514
615	823	513
616	824	511
617	825	510
618	826	508
619	829	508
620	830	506
621	831	505
622	832	503
623	833	501
624	834	500
625	835	498
626	836	497
627	837	495
628	838	494
629	839	492
630	840	491
631	841	489
632	843	489
633	844	487
634	845	486
635	846	484
636	847	483
637	848	481
638	849	480
639	850	478
640	851	477
641	852	475
642	853	474
643	854	472
644	855	471
645	858	470
646	859	468
647	860	467
648	861	466
649	863	464
650	864	463
651	865	461
652	866	460
653	868	459
654	869	457
655	870	456
656	873	455
657	874	454
658	875	453
659	877	451
660	878	450
661	879	448
662	880	447
663	881	445
664	882	444
665	882	442
666	883	441
667	884	439
668	885	438
669	887	437
670	888	435
671	889	434
672	890	432
673	890	430
674	891	429
675	892	427
676	893	426
677	894	424
678	895	423
679	896	421
680	897	420
681	898	418
682	899	417
683	899	415
684	900	414
685	902	413
686	903	411
687	904	410
688	905	408
689	906	407
690	907	405
691	908	404
692	909	402
693	910	401
694	911	399
695	911	398
696	912	396
697	913	395
698	914	393
699	915	392
700	917	391
701	918	389
702	919	388
703	919	386
704	920	385
705	921	383
706	922	382
707	923	380
708	924	379
709	925	377
710	926	376
711	926	374
712	927	373
713	928	371
714	929	370
715	930	369
716	932	367
717	933	366
718	934	365
719	934	363
720	935	362
721	936	360
722	937	359
723	938	357
724	939	356
725	940	354
726	941	353
727	941	351
728	942	350
729	943	349
730	944	347
731	945	346
732	947	345
733	948	343
734	949	342
735	950	341
736	952	339
737	953	338
738	955	337
739	956	336
740	957	334
741	958	333
742	959	331
743	961	330
744	963	329
745	964	328
746	965	327
747	966	325
748	968	324
749	969	323
750	970	321
751	970	320
752	971	318
753	972	317
754	973	315
755	974	314
756	975	313
757	977	311
758	978	310
759	978	309
760	979	307
761	980	306
762	981	304
763	982	303
764	983	302
765	984	300
766	985	299
767	986	297
768	986	296
769	987	295
770	988	293
771	989	292
772	991	291
773	992	289
774	993	288
775	994	287
776	995	285
777	996	284
778	997	283
779	999	281
780	1000	280
781	1002	279
782	1003	278
783	1004	276
784	1007	275
785	1009	274
786	1010	273
787	1011	272
788	1013	270
789	1014	269
790	1015	268
791	1016	266
792	1017	265
793	1018	264
794	1019	262
795	1020	261
796	1022	260
797	1023	258
798	1023	257
799	1024	256
800	1025	254
801	1027	253
802	1028	252
803	1029	250
804	1030	249
805	1031	248
806	1032	246
807	1033	245
808	1036	244
809	1037	243
810	1039	242
811	1041	241
812	1042	239
813	1044	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	232
819	1052	230
820	1053	229
821	1054	228
822	1055	227
823	1056	225
824	1057	224
825	1058	223
826	1059	221
827	1060	220
828	1062	219
829	1063	217
830	1064	216
831	1066	215
832	1068	214
833	1069	212
834	1071	211
835	1072	210
836	1073	209
837	1074	207
838	1075	206
839	1076	205
840	1077	203
841	1078	202
842	1079	200
843	1081	199
844	1082	198
845	1083	197
846	1084	195
847	1085	194
848	1086	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	184
856	1096	182
857	1097	181
858	1098	180
859	1099	178
860	1100	177
861	1101	176
862	1102	175
863	1103	173
864	1104	172
865	1105	171
866	1106	169
867	1107	168
868	1108	167
869	1109	165
870	1111	164
871	1112	163
872	1113	162
873	1114	160
874	1115	159
875	1117	158
876	1118	156
877	1119	155
878	1120	154
879	1121	152
880	1122	151
881	1123	150
882	1124	149
883	1126	147
884	1127	146
885	1128	145
886	1129	143
887	1129	142
888	1130	141
889	1131	139
890	1132	138
891	1133	137
892	1134	135
893	1135	134
894	1136	133
895	1137	131
896	1138	130
897	1138	129
898	1140	128
899	1142	126
900	1143	125
901	1144	124
902	1146	123
903	1147	121
904	1147	120
905	1148	119
906	1149	117
907	1150	116
908	1151	115
909	1152	113
910	1153	112
911	1154	111
912	1155	110
913	1157	108
914	1158	107
915	1159	106
916	1160	105
917	1161	103
918	1162	102
919	1163	101
920	1163	99
921	1164	98
922	1165	97
923	1166	95
924	1167	94
925	1168	93
926	1170	92
927	1171	90
928	1172	89
929	1173	88
930	1174	87
931	1174	85
932	1175	84
933	1176	83
934	1177	81
935	1178	80
936	1179	79
937	1180	78
938	1181	76
939	1182	75
940	1182	74
941	1183	72
942	1185	71
943	1186	70
944	1187	69
945	1188	67
946	1189	66
947	1189	65
948	1190	63
949	1191	62
950	1192	61
951	1193	60
952	1194	58
953	1195	57
954	1196	56
955	1197	55
956	1197	53
957	1199	52
958	1200	51
959	1201	50
960	1202	48
961	1203	47
962	1204	46
963	1204	44
964	1205	43
965	1206	42
966	1207	41
967	1208	39
968	1209	38
969	1210	37
970	1211	36
971	1212	34
972	1212	33
973	1214	32
974	1215	31
975	1216	29
976	1217	28
977	1218	27
978	1219	26
979	1220	24
980	1220	23
981	1221	22
982	1222	21
983	1223	19
984	1224	18
985	1225	17
986	1226	16
987	1227	14
988	1228	13
989	1229	12
990	1230	11
991	1231	9
992	1232	8
993	1233	7
994	1234	6
995	1235	4
996	1235	3
997	1236	2
998	1237	1
999	1238	0
